Username,item Name,Category,Model name,Manufacturer,Model number,Serial number,Asset TAG,Purchase Date,Purchase Cost,Location,Company,Status,Warranty,Supplier,Order Number
FAISALHESWARA,MONITOR,Inventory System & Device,MONITOR,"Monitor LED AOC Q27P2C 27""",IPS 1440p 75Hz HDMI DP USB-C USB Port VESA,None,ASSET-VAF-HO-IV-121,,Rp 4.087.200,HQ Menara Karya Lt. 9,PT. Valbury Asia Futures,New,0,ABDITAMA OFFICIAL TOKOPEDIA,1 Unit
ADISUKMAWIBAWA,MONITOR,Inventory System & Device,MONITOR,"Monitor LED AOC Q27P2C 27""",IPS 1440p 75Hz HDMI DP USB-C USB Port VESA,None,ASSET-VAF-HO-IV-122,,Rp 4.087.200,HQ Menara Karya Lt. 9,PT. Valbury Asia Futures,New,0,ABDITAMA OFFICIAL TOKOPEDIA,1 Unit
RICOINDANTO,MONITOR,Inventory System & Device,MONITOR,"Monitor LED AOC Q27P2C 27""",IPS 1440p 75Hz HDMI DP USB-C USB Port VESA,None,ASSET-VAF-HO-IV-123,,Rp 4.086.700,HQ Menara Karya Lt. 9,PT. Halim Mitradana International,New,0,ABDITAMA OFFICIAL TOKOPEDIA,1 Unit
MUHAMADREZA,HARDDISK PORTABLE,Inventory System & Device,HARDDISK PORTABLE,SanDisk Portable ,SSD E30 2TB USB 3.2,None,ASSET-VAF-HO-IV-124,,Rp 2.996.000,HQ Menara Karya Lt. 9,PT. Valbury Asia Futures,New,0,SanDisk Official Tokopedia,1 Unit
HERRYHOEDIHERTANTO,HARDDISK PORTABLE,Inventory System & Device,HARDDISK PORTABLE,SanDisk Portable ,SSD E30 2TB USB 3.3,None,ASSET-VAF-HO-IV-125,,Rp 2.996.000,HQ Menara Karya Lt. 9,PT. Halim Mitradana International,New,0,SanDisk Official Tokopedia,1 Unit
RIZVIFAIZI,HARDDISK PORTABLE,Inventory System & Device,HARDDISK PORTABLE,SanDisk Portable ,SSD E30 2TB USB 3.4,None,ASSET-VAF-HO-IV-126,,Rp 2.866.250,HQ Menara Karya Lt. 9,PT. Halim Mitradana International,New,0,Trinity Official Store Tokopedia,1 Unit
FAISALHESWARA,HARDDISK PORTABLE,Inventory System & Device,HARDDISK PORTABLE,SanDisk Portable ,SSD E30 2TB USB 3.5,None,ASSET-VAF-HO-IV-127,,Rp 2.866.250,HQ Menara Karya Lt. 9,PT. Valbury Asia Futures,New,0,Trinity Official Store Tokopedia,1 Unit
RYANKASMAN,MONITOR,Inventory System & Device,MONITOR,"Monitor LED AOC Q27P2C 27""",IPS 1440p 75Hz HDMI DP USB-C USB Port VESA,32150/00128241,ASSET-VAF-HO-IV-128,,Rp 4.087.200,HQ Menara Karya Lt. 9,PT. Valbury Asia Futures,New,1,ABDITAMA OFFICIAL TOKOPEDIA,1 Unit
R.TRAININGINDORAMA,BRACKET TV,Inventory System & Device,BRACKET TV, Bracket Breket Swivel TV LED ,NB P6 43 45 50 55 60 65 70 75 Inch - NB P6,None,ASSET-VAF-HO-IV-129,,Rp 384.300,HQ Menara Karya Lt. 9,PT. Valbury Asia Futures,New,0,AbbA Bracket Store Tokopedia,1 Unit
R.TRAININGINDORAMA,SMART TV,Inventory System & Device,SMART TV,LED TV SAMSUNG ,50AU7000 SMART TV CRYSTAL UHD 4K UA50AU7000KXXD,None,ASSET-VAF-HO-IV-130,,Rp 6.464.700,HQ Menara Karya Lt. 9,PT. Valbury Asia Futures,New,0,rinz olshop Tokopedia,1 Unit
JIHANRAHMASARI,KEYBOARD + MOUSE WIRELESS,Inventory System & Device,KEYBOARD + MOUSE WIRELESS,Keyboard + Mouse Wireless Rexus,Combo KM9 Putih,None,ASSET-VAF-HO-IV-131,,Rp 208.900,HQ Menara Karya Lt. 9,PT. Valbury Asia Futures,New,0,Wijaya Computer Surabaya,1 Unit
MIKHAKUSNADI,MONITOR,Inventory System & Device,MONITOR,Monitor Lenovo ,G34W - 30 34'',None,ASSET-VAF-HO-IV-132,,Rp 6.389.650,HQ Menara Karya Lt. 8,PT. Halim Mitradana International,New,0,SuperStore Computerindo Tokopedia,1 Unit
MIKHAKUSNADI,MONITOR,Inventory System & Device,MONITOR,Monitor Lenovo ,G34W - 30 34'',None,ASSET-VAF-HO-IV-133,,Rp 6.389.650,HQ Menara Karya Lt. 8,PT. Halim Mitradana International,New,0,SuperStore Computerindo Tokopedia,1 Unit